지역,사업장명,의사수,위도,경도
처인구,하얀치과의원,2.0,37.23680436,127.1982734
처인구,서울온그린치과의원,1.0,37.23626831,127.1896623
수지구,동천센트럴치과의원,1.0,37.34018557,127.0929929
기흥구,연세허브치과의원,1.0,37.29980771,127.1076195
수지구,연세스마트치과의원,2.0,37.29838789,127.0699637
처인구,가지런한 용인치과의원,4.0,37.23508365,127.2058224
수지구,서울성복치과의원,3.0,37.31305001,127.0790213
처인구,연세올바른치과의원,2.0,37.23579234,127.2080857
기흥구,서울한스마일치과의원,2.0,37.27490058,127.1153625
수지구,바로봄치과의원,2.0,37.33148042,127.126464
