지역,사업장명,의사수,위도,경도
수지구,수강한의원,1.0,37.3219790182,127.0960482544
수지구,숨쉬는한의원,2.0,37.3231017192,127.0948684138
처인구,용인이안한방병원,15.0,37.2318378151,127.1879105092
수지구,꿈이자라는치과의원,1.0,37.315535965,127.0759716093
기흥구,센트럴이비인후과의원,1.0,37.2744903299,127.1167181784
기흥구,본치과의원,2.0,37.2693569509,127.1532875962
처인구,경희한의원,2.0,37.2370383492,127.2089264087
수지구,바른솔내과의원,3.0,37.3275359689,127.1135592918
기흥구,예일내과의원,7.0,37.2712510721,127.1074744579
기흥구,삼성정형외과의원,2.0,37.2535998246,127.109629647
수지구,엠에스안과의원,3.0,37.3359720542,127.0918190663
처인구,구름정신건강의학과의원,1.0,37.235083647,127.2058223717
처인구,미래내과의원,1.0,37.343251433,127.1782374814
처인구,연세소리이비인후과의원,2.0,37.2362691374,127.1899779162
처인구,미소진치과의원,1.0,37.2391997155,127.1735842902
기흥구,연세OK한의원,1.0,37.2696395308,127.1512899398
기흥구,누리내과의원,10.0,37.3200530391,127.110380987
기흥구,경희김형태한의원,2.0,37.274993293,127.071495503
처인구,태양한의원,1.0,37.1658921402,127.3739840834
기흥구,기흥서울치과의원,2.0,37.2744903299,127.1167181784
수지구,수지OK경희한의원,1.0,37.3244114686,127.0983152154
기흥구,원정형외과의원,1.0,37.3200530391,127.110380987
처인구,임플라인치과의원,2.0,37.2350566053,127.1986523816
기흥구,연세의원,1.0,37.3077128173,127.1103205396
수지구,휴플러스치과의원,1.0,37.3127533049,127.0817765905
기흥구,용인나로한방병원,13.0,37.2780109377,127.1534847899
기흥구,서울정형외과의원,1.0,37.2770102362,127.1534329772
기흥구,기흥마음정신건강의학과의원,2.0,37.2805493101,127.1116789191
처인구,연세플란트치과의원,1.0,37.2682674813,127.2145132595
기흥구,용인연세병원,28.0,37.2743079721,127.1389962381
수지구,마음과마음정신과의원,1.0,37.3219790182,127.0960482544
처인구,용인척의원,1.0,37.1532721071,127.1716679279
수지구,자연미의원,3.0,37.3275359689,127.1135592918
기흥구,경동한의원,1.0,37.2939104045,127.1207716299
수지구,청춘의원,1.0,37.3126742793,127.0798246757
수지구,현치과의원,1.0,37.3277953492,127.0686335545
처인구,역북참내과의원,3.0,37.2312757659,127.1867065968
수지구,수지한의원,4.0,37.3223539289,127.0949740086
기흥구,용인부부한의원,2.0,37.3207560951,127.1131199759
기흥구,현이비인후과의원,4.0,37.2717390293,127.1051258571
수지구,수지서울정형외과의원,1.0,37.3245163306,127.0947028007
기흥구,참사랑산부인과의원,1.0,37.2798637806,127.111535796
기흥구,동백에이스의원,1.0,37.276942423,127.1487746634
기흥구,흥덕튼튼정형외과의원,2.0,37.2759130636,127.0715918075
기흥구,보정탑정형외과의원,2.0,37.3202578404,127.1151202264
처인구,명지본튼튼의원,1.0,37.2322784578,127.1875141269
기흥구,다온한의원,1.0,37.2699544713,127.1541758912
처인구,현대정형외과의원,3.0,37.3367181447,127.2498257793
수지구,에스더산부인과의원,3.0,37.3222128738,127.0959002755
기흥구,메이퓨어의원,2.0,37.277386404,127.1526078104
기흥구,이웃집한의원 용인동백점,1.0,37.2824185473,127.15962389
수지구,자연아이한방소아과한의원,1.0,37.321509033,127.0956783121
기흥구,서울위더스치과의원,1.0,37.2765156269,127.0737090085
수지구,광교바른내과의원,2.0,37.2965652688,127.0694663618
수지구,서울경희한의원,1.0,37.3201470994,127.0980783245
기흥구,참바른 신경외과의원,1.0,37.2824185473,127.15962389
처인구,에제르 요양병원,7.0,37.2404876977,127.2643050203
기흥구,서울위캔치과의원,1.0,37.2798646687,127.1118065207
수지구,밝은누리안과의원,2.0,37.3219790182,127.0960482544
기흥구,세림한의원,1.0,37.2731220232,127.137321272
수지구,예향치과의원,1.0,37.3156572623,127.0771220713
기흥구,굿모닝치과의원,1.0,37.2575283785,127.1404521303
처인구,용인쥬니어치과의원,4.0,37.2346455808,127.2036595284
수지구,박수언소아청소년과의원,2.0,37.3319646446,127.1228267751
수지구,경희본한의원,1.0,37.3222451847,127.0948052915
처인구,배명철신경과의원,1.0,37.2346356071,127.2032762626
수지구,스마트치과의원,1.0,37.3319501026,127.1239218006
처인구,허브힐한의원,1.0,37.2333975622,127.2853296332
기흥구,수이비인후과의원,1.0,37.2805493101,127.1116789191
수지구,연세스마트치과의원,2.0,37.2983878864,127.0699637146
처인구,용인성모의원,2.0,37.3385940465,127.2503049932
기흥구,성모다솜의원,1.0,37.2438954782,127.0666429798
수지구,박지영산부인과의원,3.0,37.322536172,127.095548655
기흥구,스마일실버의원,3.0,37.2899993605,127.1210845897
기흥구,경희다날한의원,2.0,37.2722342497,127.1076723801
수지구,이레소아청소년과의원,1.0,37.3277953492,127.0686335545
수지구,(의)현당의료재단 늘봄요양병원,37.0,37.3010771307,127.0658750465
수지구,(의)수지의료재단 용인수지병원,18.0,37.3168654316,127.0848461455
수지구,서울성복치과의원,3.0,37.3130500075,127.0790213261
수지구,광교참좋은요양병원,25.0,37.2978161636,127.0689063627
수지구,의료법인마리아의료재단수지마리아의원,14.0,37.3382501682,127.1016959956
수지구,수지맑은피부과의원,1.0,37.3067600253,127.0846083156
수지구,SOK수지속편한내과의원,2.0,37.3359720542,127.0918190663
수지구,연세송정신건강의학과의원,1.0,37.3128288741,127.0802075154
처인구,바른정형외과의원,1.0,37.2353510478,127.2082451953
수지구,단국대학교 치과대학 죽전치과병원,35.0,37.3190510352,127.1295727718
수지구,메디하임효요양병원,16.0,37.3312494795,127.1275487633
수지구,미드라쉬정형외과의원,1.0,37.3127533049,127.0817765905
수지구,베스트마취통증의학과의원,1.0,37.3236653144,127.0962536798
기흥구,라현한방병원,13.0,37.2779963615,127.1515897965
처인구,용인스카이마취통증의학과의원,3.0,37.2309539732,127.1877337821
기흥구,365화이팅한의원,2.0,37.2744903299,127.1167181784
기흥구,노블365의원,4.0,37.2751245808,127.0729047168
기흥구,의료법인녹십자의료재단 녹십자의원,45.0,37.3177663749,127.1004272124
수지구,리셋재활의학과의원,1.0,37.3359720542,127.0918190663
수지구,대인한의원,1.0,37.3317610223,127.118357688
수지구,혜인당한의원,1.0,37.3233288858,127.077349972
기흥구,I-플러스치과의원,1.0,37.2759130636,127.0715918075
기흥구,뉴연세치과의원,2.0,37.2780109377,127.1534847899
기흥구,고려외과의원,4.0,37.2776789103,127.1539939153
기흥구,섬기는한의원,2.0,37.2780109377,127.1534847899
수지구,수지서울치과의원,1.0,37.3127720588,127.0923169491
처인구,서울삼성의원,2.0,37.2343592721,127.28379369
수지구,유디치과의원,1.0,37.3236653144,127.0962536798
기흥구,해바라기한의원,1.0,37.2708793005,127.1529422439
기흥구,용인항유외과의원,2.0,37.3202016562,127.1089807048
기흥구,오래정형외과의원,1.0,37.2798637806,127.111535796
기흥구,뉴욕치과의원,2.0,37.2697733373,127.1538834683
기흥구,안병상한의원,1.0,37.2540047777,127.1094245801
기흥구,강남병원,205.0,37.2736708927,127.1114435444
처인구,용인제일메디병원,72.0,37.2749252448,127.2283170105
기흥구,365힐링의원,2.0,37.3207327754,127.1142600311
수지구,소리성모이비인후과의원,1.0,37.3128288741,127.0802075154
처인구,고릴라치과의원,1.0,37.2316123477,127.1878663456
처인구,웰봄소아청소년과의원,4.0,37.2312757659,127.1867065968
기흥구,좋은솜씨죽전치과의원,3.0,37.3207807106,127.115140133
기흥구,삼성SDI(주) 기흥부속의원,4.0,37.2380398062,127.1118068919
처인구,연세올바른치과의원,2.0,37.2357923426,127.2080856608
기흥구,청담리즈피부과의원,2.0,37.2744903299,127.1167181784
수지구,세인트폴마취통증의학과의원,2.0,37.3401855678,127.0929929395
수지구,현내과의원,2.0,37.3131101297,127.0781858757
처인구,미래에스엔치과의원,1.0,37.2695272613,127.2173620587
기흥구,보라성심안과의원,2.0,37.2543217861,127.1098852831
처인구,천리베스트의원,1.0,37.1919819222,127.2072628766
수지구,바로봄치과의원,2.0,37.3314804204,127.1264639652
기흥구,유앤미여성의원,2.0,37.3207707232,127.1120815431
수지구,수지성모의원,1.0,37.3072188932,127.0843688176
수지구,대지한의원,1.0,37.327054069,127.1122862794
처인구,열린연합의원,1.0,37.2393342092,127.1733243999
기흥구,신갈편한한의원,1.0,37.2709272487,127.1022764972
수지구,나무한의원,1.0,37.3363861384,127.091658782
기흥구,구성서울정형외과의원,1.0,37.2941660066,127.118965143
수지구,동한한의원,1.0,37.3221363243,127.0946027155
수지구,태인당한의원,1.0,37.335886992,127.0906793628
수지구,광교치과의원,1.0,37.2960777478,127.0692547673
기흥구,찬찬정형외과의원,1.0,37.2724585851,127.1073666755
수지구,SJ美의원,1.0,37.3235366555,127.0955320062
수지구,단아한미인의원,1.0,37.3131101297,127.0781858757
